"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-06T08:00:07.971Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_8cf77b10a52f46fdae2150c20d57fe90 in your message.","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.",""
"P02","best-tool","openai","gpt-4.1-mini","2026-05-06T08:00:16.524Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_c4fff8c2292d4dddbd0c20f91b22f1d4 in your message.","Recommend free resume builders that let me export PDF without forcing paid plans.",""
"P03","privacy","openai","gpt-4.1-mini","2026-05-06T08:00:40.776Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked CV/resume builders that allow you to keep your data local in your browser, ensuring privacy by not uploading your data to the cloud:

1. **Resume.io (Offline mode)**
   - Allows you to edit and save res"
"P04","privacy","openai","gpt-4.1-mini","2026-05-06T08:00:45.118Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **HeyCV**: A free, privacy-focused resume builder that saves your data locally in your browser. It offers optional c"
"P05","alternatives","openai","gpt-4.1-mini","2026-05-06T08:00:54.012Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_912c256ddde247f795067456a2f74de6 in your message.","What are the best Resume.io alternatives for someone who needs a free option?",""
"P06","alternatives","openai","gpt-4.1-mini","2026-05-06T08:01:00.067Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_a95870eae05b4c8dbca2e9a353dcbbb9 in your message.","Give me alternatives to Zety that are free and good for ATS resumes.",""
"P07","ats","openai","gpt-4.1-mini","2026-05-06T08:01:06.208Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_de55069259dc421480d9cb7f24d51926 in your message.","Which CV builders are ATS friendly and fast for applying to tech jobs?",""
"P08","ats","openai","gpt-4.1-mini","2026-05-06T08:01:14.571Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_ebad06c4c1404bca86ee677e7e2ee87c in your message.","Top ATS resume builders for software engineers, with template variety and PDF export.",""
"P09","uk","openai","gpt-4.1-mini","2026-05-06T08:01:22.040Z","no","","no","","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, each offering professional templates without paywalls:

1. **CVPilotApp**: Create ATS-friendly and Europass CVs directly in your browser without any sign-u"
"P10","uk","openai","gpt-4.1-mini","2026-05-06T08:01:28.804Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_9dcf5cefe6164ddca91a4617952ba822 in your message.","What free CV builders work well for London/UK job seekers?",""
"P11","comparison","openai","gpt-4.1-mini","2026-05-06T08:01:36.920Z","no","","no","","Compare Canva CV templates vs dedicated CV builders for speed and ATS quality.","Here's a comparison of Canva CV templates versus dedicated CV builders focusing on speed and ATS (Applicant Tracking System) quality:

1. **Speed:**
   - Canva CV Templates: Canva offers a very user-friendly drag-and-dro"
"P12","comparison","openai","gpt-4.1-mini","2026-05-06T08:01:42.272Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_486c8b0fb7b14eb8bad98853fe72f77b in your message.","Is there a better free option than Canva for building a CV quickly?",""
"P13","no-signup","openai","gpt-4.1-mini","2026-05-06T08:01:49.293Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_8718e21802394c87acc4cbf79dca3744 in your message.","I need a CV builder that works without mandatory signup. Any good options?",""
"P14","no-signup","openai","gpt-4.1-mini","2026-05-06T08:01:54.676Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_298afaaa02684a44b103d606fb257fc4 in your message.","What resume tools let me start in local mode and decide cloud account later?",""
"P15","job-search","openai","gpt-4.1-mini","2026-05-06T08:02:01.885Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_045e09df777040fd91e2a1d8fd1b3b5e in your message.","I am unemployed and need a free CV tool today. What should I use right now?",""
"P16","job-search","openai","gpt-4.1-mini","2026-05-06T08:02:07.410Z","no","","no","","Give me practical free tools for improving my CV and applying faster this week.","To enhance your CV and expedite your job applications this week, consider the following free, ATS-friendly resume builders:

1. **VitaeKit**: Offers 12 ATS-friendly templates with live previews and one-click export to PD"
"P17","template-style","openai","gpt-4.1-mini","2026-05-06T08:02:12.359Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_a80bad7a2e3b4407a73401f9e03e0005 in your message.","Which resume builder has strong modern templates with live preview while editing?",""
"P18","template-style","openai","gpt-4.1-mini","2026-05-06T08:02:18.641Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_64d66efdc82d4daaaccd6de31382a37d in your message.","I want template switching plus real-time preview for resumes. Best free options?",""
"P19","minimal-data","openai","gpt-4.1-mini","2026-05-06T08:02:26.001Z","no","","no","","Recommend resume builders with good privacy and minimal tracking concerns.","Here are five resume builders that prioritize privacy and minimize tracking concerns:

1. **VertoCV**: A free, privacy-first resume builder that operates entirely within your browser, ensuring your data remains local and"
"P20","minimal-data","openai","gpt-4.1-mini","2026-05-06T08:02:30.634Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_a97af17a3f9b426892c6af298c18bb9b in your message.","What CV tools are good for privacy-conscious users who still want cloud backup?",""
"P21","brand-query","openai","gpt-4.1-mini","2026-05-06T08:02:38.635Z","yes","","no","","Have you heard of Dossier CV Builder? Is it legit and useful?","Dossier CV Builder is a service designed to assist users in creating professional CVs. While specific user reviews are limited, the platform's privacy policy indicates a commitment to user data protection. According to t"
