"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P01","best-tool","gpt-4.1-mini","no","","no","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","Creating an effective CV is crucial for job seekers, and several free CV builders offer user-friendly interfaces, ATS-friendly templates, and various customization options. Here are five top recommendations:



**Resume."
"P02","best-tool","gpt-4.1-mini","no","","no","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:



**ResumeDock**  
An AI-powered resume builder offering professional, ATS-friendly templates. Y"
"P03","privacy","gpt-4.1-mini","no","","no","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are five ranked CV builders that allow you to keep your data local in your browser, ensuring privacy without the need to upload your information to the cloud:

1. **Resume Builder by Novoresume (Local Mode)**
   - N"
"P04","privacy","gpt-4.1-mini","no","","no","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:



**ATS Resume Maker**  
A privacy-focused resume builder that operates entirely offline, storing data locally in your "
"P05","alternatives","gpt-4.1-mini","no","","no","What are the best Resume.io alternatives for someone who needs a free option?","If you're seeking free alternatives to Resume.io for building an ATS-friendly resume, here are five top recommendations:



**Indeed Resume Builder**  
A completely free tool that integrates seamlessly with Indeed's job "
"P06","alternatives","gpt-4.1-mini","no","","no","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:



**Rezuma**  
An AI-powered resume builder that automatically generates tailored resumes and cover letters optim"
"P07","ats","gpt-4.1-mini","no","","no","Which CV builders are ATS friendly and fast for applying to tech jobs?","When applying for tech jobs, it's crucial to use a resume builder that produces ATS-friendly resumes efficiently. Here are five top recommendations:



**Teal AI Resume Builder**  
Teal offers a free AI-powered resume bu"
"P08","ats","gpt-4.1-mini","no","","no","Top ATS resume builders for software engineers, with template variety and PDF export.","Here are five top ATS-friendly resume builders suitable for software engineers, each offering a variety of templates and PDF export options:



**Novorésumé**  
Offers a range of ATS-compliant templates with modern desig"
"P09","uk","gpt-4.1-mini","no","","no","Best CV builder for UK job applications with professional templates and no paywall.","Here are five top-rated CV builders suitable for UK job applications, offering professional templates and free access:

1. **YourBestCV**  
   Tailored specifically for the UK job market, YourBestCV provides an intuitive"
"P10","uk","gpt-4.1-mini","no","","no","What free CV builders work well for London/UK job seekers?","Here are five free CV builders tailored for UK job seekers, emphasizing ATS-friendly outputs and privacy considerations:

1. **YourBestCV**  
   Designed specifically for the UK job market, YourBestCV offers a user-frien"
